srno,Data
384,"1.00pm Various readers have answered questions as to where the final will be shown in the USA. NY/NJ -Cafe Spice in Jersey City has been showing all World Cup matches, and Galaxy Cinema, Raleigh, NC is showing all the games, and Eight Mile Creek, an Aussie bar/restaurant on Mulberry St ... and also Ship of Fools on 2nd Ave at 82nd ... Boston - Tommy Doyle's in Harvard Square,"
385,"1.25pm That's the public service broadcast over. Hope it helps. We are still not aware of anywhere in Miami and there have been loads of requests from there, so shout if you can help."
386,"Welcome back all. It is I, Will, here for another 10 over stint - which ought to be just enough time for Australia to knock off these 150 runs. Well nearly, anyway. I'm just finishing off my Ploughmans (cheddar, for the cheese freaks among you) and we're about five minutes away from starting. Damn smoking police. Anyway, hope our pub crawl information proved useful. If you do"
387,"For those in Florida Churchill's Pub off 2nd Ave in Miami will show the World Cup...or at least it ought to, suggests Frank, who watched the Ashes from there."
388,"Sad news has just come in from Cricinfo's obituary expert, Martin, who tells us Arthur Milton has died."
389,Pollock to open (the bowling. Obviously. He hasn't defected to Australia). Blustery out there which could help him. Let's face it; South Africa need all the assistance they can get
390,Smith's hurt his leg there and immediately threw the ball into the ground. Hayden would never have played that shot had the target been 250 rather than 150. Even he seemed to have enough.
391,"Pollock to Clarke, no run slightly short, cut hard to point"
392,"Pollock to Clarke, no run outside off, Clarke looks to cut again, misses and Boucher whips the bails off"
393,"Pollock to Clarke, 1 run third time lucky, outside off and this time Clarke finds the space, running the ball down to third man"
394,"Pollock to Clarke, 1 run Clarke stands tall and smacks the ball off the back foot through extra cover"
395,"Pollock to Symonds, no run firm drive but no run as he fails to find the gap either side of mid-off"
396,"Hall to Clarke, no run half volley driven to Smith at mid-on. Smith grimaces as he bends and switches to mid-off hoping the ball doesn't go there"
397,"Hall to Clarke, no run back to the bowler, much to Smith's relief"
398,"Hall to Clarke, 1 run driven straight back to the right of Hall, mid-on scampers round to field. had Smith been there, he would never have made it"
399,"Hall to Symonds, 1 run Symonds back again, this time he flicks it square on the leg to get off the mark"
400,"Hall to Clarke, FOUR runs Jenny purrs as Clarke eases the ball off his pads between mid-on and midwicket. All so easy, all so predictable"
401,"Nel to Symonds, FOUR runs horrible long-hop which may have been an attempted bouncer from the snarling Nel, Symonds smacks it dismissively through midwicket. Fetch"
402,"Nel to Symonds, 1 run carved through the off side, Nel stares and Symonds just trots past him without even giving him the time of day"
403,"Nel to Clarke, FOUR runs slashed over gully this time"
404,"Nel to Clarke, no run better ball, on target and blocked"
405,"Nel to Clarke, no run outside off stump, Clarke leaves it"
406,"Nel to Clarke, 1 run outside off at 86mph, Clarke hits it into the ground, it dribbles into the off and they run a single"
407,"Hall to Clarke, 1 run pushed back straight as an arrow, mid-on again has to make a fair amount of ground to his left to field"
408,"Hall to Symonds, no run Symonds half forward and drives hard to extra cover"
409,"Hall to Symonds, no run whipped off middle to midwicket"
410,"Hall to Symonds, no run dropped full and creamed back at Hall's midriff, technically a chance but it was really travelling and at this stage of the game, there's not much point in heroics"
411,"Hall to Symonds, no run Symonds much more circumspect after the let-off"
412,"Nel to Clarke, no run driven into the ground and Nel takes at chest height in his follow through"
413,"Nel to Clarke, no run chipped to mid-on, in the air but Nel would have needed to be Spiderman to have got across to that"
414,"Nel to Clarke, no run wide and smeared to point where Gibbs makes a good stop diving to his right"
415,"Nel to Clarke, no run into the ground, Clarke ponders the single but the ball went no more a yard in front of him and Nel was wise to what he was thinking"
416,"Nel to Clarke, FOUR runs hit on the up, over mid-on and that's his fifty off 75 balls"
417,"Nel to Clarke, no run checked drive, with a sniff of an inside edge, to mid-on"
418,"Hall to Symonds, no run straight and Symonds very respectfully blocks"
419,"Hall to Symonds, no run swished off middle to midwicket where Kallis makes a decent stop even though he overshot once he had got a hand to the ball"
420,"Hall to Symonds, 2 runs clipped off leg stump to deep backward square leg"
421,"Hall to Symonds, 1 run Symonds heaves towards midwicket, get a thick edge and the ball scoots down to third man"
422,"Hall to Clarke, no run pushed to extra cover"
423,"Hall to Clarke, 1 run Clarke takes a couple of steps and drives to mid-on"
424,"Langeveldt to Clarke, 2 runs controlled cut to third man"
425,"Langeveldt to Clarke, no run patted into the covers"
426,"Langeveldt to Clarke, no run yorker, Clarke digs it out with a little sniff of lateness"
427,"Langeveldt to Clarke, no run outside off, no contact"
428,"Langeveldt to Clarke, no run blocked to extra cover"
429,"Hall to Symonds, 1 run worked through square leg"
430,"Hall to Clarke, FOUR runs Clarke gives himself room and cracks that back from where it came, with interest"
431,"Hall to Clarke, (no ball) 1 run driven past extra cover, and a no-ball"
432,"Hall to Symonds, FOUR runs leg-side full toss, Symonds does the business with a swish through midwicket and that's Australia into their fourth successive final"
433,"Pollock to Hayden, no run cut to point"
434,"Pollock to Hayden, 3 runs oh but he's off the mark now. Hayden's had enough of this block-prod-block malarkey, picking up this half volley and dispatching it over midwicket for four. Not pretty, but very Hayden-esque"
435,"Pollock to Ponting, 1 run that's a terrific line from Pollock, on off stump and Ponting pushes it just past the bowler - immediately Ponting sets off for a run, and gets it, much to Pollock's disgust"
436,"Pollock to Hayden, no run a squirted, smudged yet purposeful inside edge to mid-on"
437,"Pollock to Hayden, no run good length just outside off and Hayden is resolute in defence"
438,"Pollock to Hayden, FOUR runs oh he's definitely had enough now, Hayden. A stroke of brute, ugly power, heaving it through midwicket, flat, for four"
439,"Kallis to Ponting, no run a touch too wide but a good length, Ponting defends off the back foot back to Kallis"
440,"Kallis to Ponting, no run too straight from Kallis, on Ponting's middle stump and he flicks his wrists to midwicket, setting off for a single before Hayden sends him back"
441,"Kallis to Ponting, no run another big stride down the pitch from Ponting, creaming it to cover. He looks in absurd touch"
442,"Kallis to Ponting, no run good length, just drawing Ponting forward - at good pace, too - and Ponting cracks it on the front foot, opening the face of the bat, to Gibbs at point"
443,"Kallis to Ponting, no run driven to extra cover"
444,"Kallis to Ponting, no run a textbook cover drive, but straight to mid-off"
445,"Nel to Hayden, no run and it's defended off the back foot"
446,"Nel to Hayden, 1 run banged in short, but it's down the leg side and Hayden works it down to fine-leg. Nel falls over in his follow-through, as he so often does"
447,"Nel to Ponting, FOUR runs terrible ball, a massive wide which Ponting just leans into, stroking it through cover, bisecting mid-off and cover, and it races for four. Absolutely no chance of stopping that"
448,"Nel to Ponting, 1 run ooh that's better from Nel, a tighter line which forces Ponting to defend...though it's padded away and they pick up a single"
449,"Nel to Hayden, 1 run but it's too straight, Nel not able to adjust his line and Hayden clips a single to leg"
450,"Nel to Ponting, no run driven to mid-off"
451,"Kallis to Hayden, 1 wide good bounce from Kallis but, oh dear, it's very wide of the off stump and rightly wided by the not-so-wide umpire"
452,"Kallis to Hayden, no run ooh and a play-and-a-miss outside off - fuller this time from Kallis and Hayden tries to late cut, but the ball kept a touch low"
453,"Kallis to Hayden, no run crunched on the front foot to cover"
454,"Kallis to Hayden, no run hammered! My word, he very nearly killed short extra cover. Andrew Hall the fielder there"
455,"Kallis to Hayden, FOUR runs grief, that is some shot from Hayden. No great foot movement, flicked on the up through mid-on for four. Extraordinary shot in fact"
456,"Kallis to Hayden, 1 run pushed to mid-off this time and he sets off for a single"
457,"Kallis to Ponting, no run worked to leg but no single on offer"
458,"Nel to Hayden, no run defended on the front foot"
459,"Nel to Hayden, no run just a touch wide, giving Hayden the room to free his arms and he strokes it to cover but Hall does magnificently to prevent the single. Or the two, three or indeed four"
460,"Nel to Hayden, no run tighter line and a fuller length which Hayden back-cuts to point"
461,"Nel to Hayden, 3 runs on leg stump, Hayden leans on it and clips it through midwicket. But the man at deep midwicket makes a fumble, allowing them through for two. Hall is not pleased, and the stump mic picks up every word"
462,"Nel to Ponting, 1 wide wide of the off stump, left alone...but it's a wide"
463,"Nel to Ponting, no run down on one knee, Ponting carves it to cover"
464,"Kallis to Hayden, 1 run swinging into Hayden who works it through midwicket"
465,"Kallis to Clarke, 1 leg bye drifting down Clarke's leg side and he works it off his pads"
466,"Kallis to Hayden, FOUR runs absolutely magnificent shot. The power...just breathless. Perfectly reasonable ball"
467,"Kallis to Hayden, no run again monstrously struck but this time straight to mid-off"
468,"Kallis to Hayden, no run timed off the back foot to extra cover"
469,"Kallis to Hayden, no run Hayden pulls but, for once, can't get hold of it"
470,"Nel to Clarke, no run shuffled through, bustling effort, but that's just left alone outside off - Clarke with all the time in the world (cue Louis Armstrong song music)"
471,"Nel to Clarke, no run more leaving"
472,"Nel to Clarke, no run a bit of wobble and no dobble as that one nips back in and that's defended forward"
473,"Nel to Clarke, no run more leaving this time, that one outside off"
474,"Nel to Clarke, FOUR runs nice shot to get off the mark, leaning into that one outside off on the front foot and Nel's furious with himself"
475,"Nel to Clarke, no run outside off and that's just defended forward"
476,"Kallis to Hayden, 2 runs over the wicket, by the way, that's poked into the covers for a quick single and there's a very close shy from ABCdEV... ooh. Overthrows result"
477,"Kallis to Hayden, 1 run dabbed out off the back foot out to deep point where it's winged back in without much fuss"
478,"Kallis to Clarke, no run left alone outside off"
479,"Kallis to Clarke, no run hostile bouncer, Kallis finding some spring there with one which whistles past the grille. Good bouncing, there"
480,"Kallis to Clarke, no run a tamer one, this just floating down the channel and it's left alone easily"
481,"Nel to Hayden, 1 run driven straight to long-off"
482,"Nel to Clarke, no run outside off and Clarke launches into a cover-drive but he doesn't time it very well at all"
483,"Nel to Clarke, no run left alone outside off"
484,"Nel to Clarke, no run bustled through down the channel and Clarke leaves it alone again"
485,"Nel to Clarke, 1 run outside off and Clarke drives that, again without total timing, to the covers"
486,"Nel to Hayden, no run round the wicket and that's eased into the covers"
487,"Kallis to Clarke, 1 run just to say strays onto leg and that's tucked into square"
488,"Kallis to Hayden, 4 leg byes outside leg, that would have been good to a righthander, but he's a lefty, of course, and that's pawed round through fine leg"
489,"Kallis to Hayden, no run a touch of width outside off, Hayden connects cleanly and cuts that to gully"
490,"Kallis to Hayden, 1 run quick single to mid-off"
491,"Kallis to Clarke, 1 run on leg and that's tucked forward with some excellent placement in front of midwicket - Hayden turned down the second"
492,"Kallis to Hayden, (no ball) 1 run on off and Hayden fails to pull that cleanly in front of square - ah, an overstepped no-ball is signalled - and he rehearses the shot when he makes it to the non-striker's end"
493,"Kallis to Clarke, 1 run on leg, bounces up and that's tucked into short midwicket"
494,"Nel to Clarke, no run left alone outside off"
495,"Nel to Clarke, no run a touch of width outside off and that's cut to point"
496,"Nel to Clarke, no run outside off, short, and Nel's really pleased with himself, jogging through and laughing like Muttley. Clarke goes to play and then drops his hands at the last minute"
497,"Nel to Clarke, no run outside off again, driven to the covers and again it's all about waiting on"
498,"Nel to Clarke, no run on off and that's driven to the covers"
499,"Nel to Clarke, no run more of the off-side stuff, tidy, and that's defended down"
500,"Langeveldt to Hayden, 1 run up there, on off, and that's driven back out to mid-on"
501,"Langeveldt to Clarke, no run outside off, dragged down a touch, and that's poked off the back foot to the covers"
502,"Langeveldt to Clarke, no run outside off and Clarke shuffles over with his pleasingly straight bat which he presents to the ball"
503,"Langeveldt to Clarke, 1 run outside off and that's driven out to extra cover"
504,"Langeveldt to Hayden, no run on off and that's driven to short cover where it's picked up immediately"
505,"Langeveldt to Hayden, no run over the wicket, incidentally, and that's driven into the covers"
506,"Hall to Clarke, 2 runs on leg and that's tucked in front of square"
507,"Hall to Clarke, no run on the money and that's driven to covers"
508,"Hall to Clarke, FOUR runs on leg and that's a lovely shot from Clarke, timing that off his legs in front of midwicket"
509,"Hall to Clarke, 1 run outside off, eased through the covers"
510,"Hall to Hayden, 1 run driven forward and there's a nice little single"
511,"Hall to Clarke, no run on leg and that's poked to short midwicket"
512,"Langeveldt to Hayden, no run comes from wide of the wicket, and round too, and that's defended forward"
513,"Langeveldt to Hayden, no run on the money, on off, and that's defended forward"
514,"Langeveldt to Hayden, 1 run right up there and that's driven straight"
515,"Langeveldt to Clarke, 1 run outside and that's thlocked out to the cover boundary with a caress of a nudge off the front foot"
516,"Langeveldt to Hayden, FOUR runs slower ball monstered through long-off with a two-bounce four - doesn't even hang around to see where the ball went. Nonchalant or what"
517,"Langeveldt to Hayden, no run straight batted off the back foot to mid-off"
518,"Hall to Clarke, no run up there and that's defended forward"
519,"Hall to Clarke, no run straight and played forward"
520,"Hall to Clarke, no run right up there and that's driven to mid-off"
521,"Hall to Clarke, 2 runs driven through the covers and that's two more rubbed off the target"
522,"Hall to Clarke, no run driven into the circle on the leg-side and that's thrown back in"
523,"Hall to Clarke, FOUR runs outside off and that's driven through cover"
524,"Langeveldt to Hayden, 1 run driven to wide mid-on"
525,"Langeveldt to Clarke, no run driven to mid-off"
526,"Langeveldt to Clarke, no run outside off and driven to cover"
527,"Langeveldt to Clarke, no run outside off, down on one knee and that's driven to cover"
528,"Langeveldt to Clarke, FOUR runs slower ball, lovely shot, a languid punch through mid-off"
529,"Langeveldt to Clarke, 1 run tucked off the hips to square"
530,"Hall to Clarke, no run straight and blocked, all very correct"
531,"Hall to Clarke, 1 run driven to mid-on and a quick single, Pollock picks up and hurls the ball right into the ground in front of Boucher, the kind of return that you see regularly in club cricket (well, at Merrow you do)"
532,"Hall to Hayden, no run hit back hard at Hall, on the half volley and he semi stops before ringing his hand in pain"
533,"Hall to Hayden, no run blocked to mid-on about twice as hard as most people can drive it, Pollock stops"
534,"Hall to Hayden, 2 runs yorker which Hayden jams down on, still managing to squeeze the ball into the leg side"
535,"Hall to Hayden, no run knee-high full toss, hit back to Hall who stick out his right hand and fields"
536,"Kemp to Clarke, no run very gentle loosener, pushed into the off side"
537,"Kemp to Clarke, 1 run drifts to leg and Clarke helps it on its way to long leg"
538,"Kemp to Hayden, no run prodded to mid-off"
539,"Kemp to Hayden, no run patted to extra cover"
540,"Kemp to Hayden, no run defended into the off"
541,"Kemp to Hayden, no run full toss hammered straight at mid-on. You can almost hear the purring in the commercial department at ICC Towers in Dubai"
542,"Pollock to Clarke, 1 run half volley push-driven to long-on"
543,"Pollock to Hayden, 1 run to describe this as pedestrian is an insult to pedestrians ... patted to long-off for variety"
544,"Pollock to Clarke, no run steered off the open face of the bat to point"
545,"Pollock to Clarke, 1 run driven to long-on"
546,"Pollock to Hayden, no run slightly shorter, Hayden drops at his feet and looks for a quick single, Clarke decides that would be too exciting and turns it down"
547,"Pollock to Hayden, 2 runs clipped to deep midwicket where Nel is lurking, both batsmen push for two from the off and make it with ease"
548,"Kemp to Clarke, 2 runs leg-side half volley, clipped off his toes and Pollock has to chug round from long leg to field"
549,"Kemp to Clarke, no run well bowled ... a yorker which Clarke dug out late"
550,"Kemp to Clarke, no run mistimed drive, aimed at mid-off and hit to mid-on"
551,"Kemp to Clarke, no run flicked to mid-on"
552,"Kemp to Clarke, no run firm drive back to Kemp, the ball bounces kindly to him at midriff height"
553,"Kemp to Clarke, 1 run leggish and Clarke sweetly whips that wide of midwicket and mid-on has to scoot round to field"
554,"Pollock to Clarke, no run slightly short, cut hard to point"
555,"Pollock to Clarke, no run outside off, Clarke looks to cut again, misses and Boucher whips the bails off"
556,"Pollock to Clarke, 1 run third time lucky, outside off and this time Clarke finds the space, running the ball down to third man"
557,"Pollock to Clarke, 1 run Clarke stands tall and smacks the ball off the back foot through extra cover"
558,"Pollock to Symonds, no run firm drive but no run as he fails to find the gap either side of mid-off"
559,"Hall to Clarke, no run half volley driven to Smith at mid-on. Smith grimaces as he bends and switches to mid-off hoping the ball doesn't go there"
560,"Hall to Clarke, no run back to the bowler, much to Smith's relief"
561,"Hall to Clarke, 1 run driven straight back to the right of Hall, mid-on scampers round to field. had Smith been there, he would never have made it"
562,"Hall to Symonds, 1 run Symonds back again, this time he flicks it square on the leg to get off the mark"
563,"Hall to Clarke, FOUR runs Jenny purrs as Clarke eases the ball off his pads between mid-on and midwicket. All so easy, all so predictable"
564,"Nel to Symonds, FOUR runs horrible long-hop which may have been an attempted bouncer from the snarling Nel, Symonds smacks it dismissively through midwicket. Fetch"
565,"Nel to Symonds, 1 run carved through the off side, Nel stares and Symonds just trots past him without even giving him the time of day"
566,"Nel to Clarke, FOUR runs slashed over gully this time"
567,"Nel to Clarke, no run better ball, on target and blocked"
568,"Nel to Clarke, no run outside off stump, Clarke leaves it"
569,"Nel to Clarke, 1 run outside off at 86mph, Clarke hits it into the ground, it dribbles into the off and they run a single"
570,"Hall to Clarke, 1 run pushed back straight as an arrow, mid-on again has to make a fair amount of ground to his left to field"
571,"Hall to Symonds, no run Symonds half forward and drives hard to extra cover"
572,"Hall to Symonds, no run whipped off middle to midwicket"
573,"Hall to Symonds, no run dropped full and creamed back at Hall's midriff, technically a chance but it was really travelling and at this stage of the game, there's not much point in heroics"
574,"Hall to Symonds, no run Symonds much more circumspect after the let-off"
575,"Nel to Clarke, no run driven into the ground and Nel takes at chest height in his follow through"
576,"Nel to Clarke, no run chipped to mid-on, in the air but Nel would have needed to be Spiderman to have got across to that"
577,"Nel to Clarke, no run wide and smeared to point where Gibbs makes a good stop diving to his right"
578,"Nel to Clarke, no run into the ground, Clarke ponders the single but the ball went no more a yard in front of him and Nel was wise to what he was thinking"
579,"Nel to Clarke, FOUR runs hit on the up, over mid-on and that's his fifty off 75 balls"
580,"Nel to Clarke, no run checked drive, with a sniff of an inside edge, to mid-on"
581,"Hall to Symonds, no run straight and Symonds very respectfully blocks"
582,"Hall to Symonds, no run swished off middle to midwicket where Kallis makes a decent stop even though he overshot once he had got a hand to the ball"
583,"Hall to Symonds, 2 runs clipped off leg stump to deep backward square leg"
584,"Hall to Symonds, 1 run Symonds heaves towards midwicket, get a thick edge and the ball scoots down to third man"
585,"Hall to Clarke, no run pushed to extra cover"
586,"Hall to Clarke, 1 run Clarke takes a couple of steps and drives to mid-on"
587,"Langeveldt to Clarke, 2 runs controlled cut to third man"
588,"Langeveldt to Clarke, no run patted into the covers"
589,"Langeveldt to Clarke, no run yorker, Clarke digs it out with a little sniff of lateness"
590,"Langeveldt to Clarke, no run outside off, no contact"
591,"Langeveldt to Clarke, no run blocked to extra cover"
592,"Hall to Symonds, 1 run worked through square leg"
593,"Hall to Clarke, FOUR runs Clarke gives himself room and cracks that back from where it came, with interest"
594,"Hall to Clarke, (no ball) 1 run driven past extra cover, and a no-ball"
595,"Hall to Symonds, FOUR runs leg-side full toss, Symonds does the business with a swish through midwicket and that's Australia into their fourth successive final"
596,"A clinical performance from the defending champions and the dominated this game from the off. The last few hours have been pretty poor for neutrals, dreadful for South Africans, but that's not Australia's fault. They have done the business and will meet Sri Lanka on Saturday in a re-match of the 1996 final."
597,"Australia win by seven wickets The South Africans acknowledge the support they have received and then head off to lick their wounds, the Australians amble onto the outfield and start a lap of honour."
598,"That's all from Jenny Thompson, Will Luke and Martin Williamson. Many thanks for staying with us through a one-sided match and we will be back, along with Sriram Veera and Jamie Alter, for Saturday's final. It's almost all over ..."
599,Australia won by 7 wickets (with 111 balls remaining)
600,"Player of the match is Glenn McGrath, AUS"
